MDT_CORRIDOR_ID,SMS_REFPOST_OFFSET,CITY,COUNTY,Month,Year,SMS_TIME,SMT_CRASH_OCC_DAY_OF_WEEK,JUNCTION_RELATED,ROADWAY_RELATED,WEATHER_COND,ROAD_COND,LIGHT_COND,CRASH_SEVERITY,COLLISION_TYPE,LATITUDE,LONGITUDE,Ennis Distance,Virginia City Distance
C000013N,049+0.178,,MADISON,June,2015,11:00,SUN,NON-JUNCTION,ON ROADWAY,CLOUDY,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT,44.93874463,-111.6097921,28.98797487,29.39985774
C000013N,049+0.203,ENNIS,MADISON,SEPTEMBER,2017,14:00,SAT,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),"SIDESWIPE, SAME DIRECTION",45.35157601,-111.7325586,0.159618444,10.89826422
C000013N,049+0.290,ENNIS,MADISON,July,2013,13:10,SAT,DRIVEWAY/ALLEY ACCESS RELATED,ON ROADWAY,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),REAR-END,45.35287167,-111.732595,0.24915578,10.9294532
C000013N,049+0.346,ENNIS,MADISON,MARCH,2017,19:53,SAT,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL,45.35363577,-111.7324938,0.301924222,10.95367086
C000013N,049+0.358,NOT IN CITY LIMITS,MADISON,MAY,2017,16:45,WED,DRIVEWAY/ALLEY ACCESS RELATED,ROADSIDE RIGHT,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),REAR TO FRONT,45.68527778,111.7325,5611.602318,5609.984994
C000013N,049+0.365,NOT IN CITY LIMITS,MADISON,FEBRUARY,2017,18:50,MON,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),"SIDESWIPE, SAME DIRECTION",45.35387593,-111.7323232,0.318655799,10.96757028
C000013N,049+0.370,,MADISON,September,2015,14:00,TUE,DRIVEWAY/ALLEY ACCESS RELATED,ON ROADWAY,CLOUDY,DRY,DAYLIGHT,NON-INCAPACITATING EVIDENT INJURY ACCIDENT,REAR-END,45.35399108,-111.7326028,0.326497448,10.95798102
C000013N,049+0.389,,MADISON,April,2014,18:40,TUE,INTERSECTION-RELATED,ON ROADWAY,CLOUDY,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),OTHER,45.35422809,-111.7325058,0.342847805,10.96851681
C000013N,049+0.389,,MADISON,July,2015,12:12,FRI,NON-JUNCTION,IN PARKING LANE OR ZONE,CLOUDY,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT,45.35422166,-111.7332273,0.344130749,10.93591822
C000013N,049+0.451,ENNIS,MADISON,July,2014,14:15,WED,INTERSECTION-RELATED,ON ROADWAY,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),REAR-END,45.35546597,-111.7336856,0.432111709,10.94823142
